Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3pp0CleanAfixed_5280450_uff_E=147.99,-6.3,0,0
3pp0CleanAfixed_5280450_uff_E=147.99,-5.8,8.95,4.792
3pp0CleanAfixed_5280450_uff_E=147.99,-5.6,8.182,3.455
3pp0CleanAfixed_5280450_uff_E=147.99,-5.5,9.378,4.79
3pp0CleanAfixed_5280450_uff_E=147.99,-5.4,14.275,12.192
3pp0CleanAfixed_5280450_uff_E=147.99,-5.4,20.441,16.945
3pp0CleanAfixed_5280450_uff_E=147.99,-5.3,9.71,5.357
3pp0CleanAfixed_5280450_uff_E=147.99,-5.3,14.95,12.096
3pp0CleanAfixed_5280450_uff_E=147.99,-5.3,4.728,3.239
3pp0CleanAfixed_635296_uff_E=2783.37,-6.2,0,0
3pp0CleanAfixed_635296_uff_E=2783.37,-6.1,2.44,1.332
3pp0CleanAfixed_635296_uff_E=2783.37,-6,3.32,1.832
3pp0CleanAfixed_635296_uff_E=2783.37,-6,3.62,2.207
3pp0CleanAfixed_635296_uff_E=2783.37,-5.9,10.859,6.58
3pp0CleanAfixed_635296_uff_E=2783.37,-5.2,10.737,6.498
3pp0CleanAfixed_635296_uff_E=2783.37,-5.1,11.338,6.415
3pp0CleanAfixed_635296_uff_E=2783.37,-5.1,26.972,23.114
3pp0CleanAfixed_635296_uff_E=2783.37,-4.9,32.861,29.887
3pp0CleanAfixed_10851_uff_E=1349.98,-5.1,0,0
3pp0CleanAfixed_10851_uff_E=1349.98,-4.7,4.059,1.602
3pp0CleanAfixed_10851_uff_E=1349.98,-4.6,8.161,1.794
3pp0CleanAfixed_10851_uff_E=1349.98,-4.6,5.778,1.724
3pp0CleanAfixed_10851_uff_E=1349.98,-4.5,6.408,1.697
3pp0CleanAfixed_10851_uff_E=1349.98,-4.4,7.309,4.274
3pp0CleanAfixed_10851_uff_E=1349.98,-4.3,5.802,1.761
3pp0CleanAfixed_10851_uff_E=1349.98,-4.3,9.418,3.756
3pp0CleanAfixed_10851_uff_E=1349.98,-4.2,29.619,25.67
3pp0CleanAfixed_62642_uff_E=6841.82,-6.1,0,0
3pp0CleanAfixed_62642_uff_E=6841.82,-5.5,2.181,1.494
3pp0CleanAfixed_62642_uff_E=6841.82,-5.5,9.06,4.95
3pp0CleanAfixed_62642_uff_E=6841.82,-5.4,9.349,6.048
3pp0CleanAfixed_62642_uff_E=6841.82,-5.3,2.419,1.498
3pp0CleanAfixed_62642_uff_E=6841.82,-5.3,13.07,8.141
