,,,,,,,
Peak#,Retention Time (min),Area,Area (%),Compound Name,Molecular Formula,PubChem ID,SMILES
1,3.03,"3,584,563",3.15,"BENZENE, ETHYL-",C8H10,7500,CCC1=CC=CC=C1
2,3.136,"1,893,154",1.67,"BENZENE, 1,2-DIMETHYL-",C8H10,7237,CC1=CC=CC=C1C
3,3.531,"6,629,110",5.83,"2-PENTANETHIOL, 2-METHYL-",C6H14S,74213,CCCC(C)(C)S
4,3.851,"3,823,160",3.36,3-NONANONE,C9H18O,61235,CCCCCCC(=O)CC
5,4.373,"1,137,628",1,"Pentane, 3-ethyl-2,4-dimethyl-",C9H20,14040,CCC(C(C)C)C(C)C
6,4.753,"7,347,558",6.47,3-HEXEN-2-ONE,C6H10O ,5367744,CC/C=C/C(=O)C
7,40.329,"10,784,753",9.49,"9,12-Octadecadienoic acid (Z,Z)-",C18H32O2,5280450,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
8,40.435,"35,747,393",31.46,"9-Octadecenoic acid, 1,2,3-propanetriyl ester, (E,E,E)-",C57H104O6,5364673,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C/CCCCCCCC)COC(=O)CCCCCCC/C=C/CCCCCCCC
9,42.713,"2,956,267",2.6,"HEXADECANOIC ACID, 2-HYDROXY-1,3-PROPANEDIYL ESTER",C35H68O5,68149,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)O
10,45.117,"15,932,855",14.02,Bicyclo[10.1.0]tridec-1-ene,C13H22,548879,C1CCCCC=C2CC2CCCC1
11,45.191,"17,165,393",15.11,"9-Octadecenoic acid, 1,2,3-propanetriyl ester, (E,E,E)-",  ,,
12,45.538,"2,494,181",2.2,Glycidol stearate,C21H40O3,62642,CCCCCCCCCCCCCCCCCC(=O)OCC1CO1
13,47.29,"1,129,566",0.99,"DODECANOIC ACID, 1,2,3-PROPANETRIYL ESTER",  ,,
14,47.41,"1,596,645",1.41,"Lauric acid, 2-(hexadecyloxy)-3-(octadecyloxy)propyl ester",C39H74O6,10851,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
15,48.33,"1,404,162",1.24,"LAURIC ACID, 2-(HEXADECYLOXY)-3-(OCTADECYLOXY)PROPYL ESTER",C49H98O4,635296,CCCCCCCCCCCCCCCCCC-OCC(COC(=O)CCCCCCCCCCC)OCCCCCCCCCCCCCCCC
