  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        6.092            0      353.715       96.744       99.513
        1        2.695        4.900            0      351.512       48.467       91.427
        2        2.725        5.012            0      347.690       49.018       94.657
        3        2.655        4.949            0      347.235       33.612       91.737
        4        2.731        4.694            0      330.393       48.082       94.891
        5        2.923        4.658            0      339.541       36.307       92.303
        6        2.583        4.925            0      335.876       57.042       96.255
        7        2.711        5.187            0      342.126       64.157       93.847
        8        2.430        5.170            0      350.669       47.060       96.556
        9        1.394        5.743            0      351.443       77.455       94.338
       10        1.244        5.986            0      349.361      107.007       98.163
       11        1.350        5.722            0      344.541       79.521       99.797
       12        1.105        5.865            0      347.327       93.384       90.808
       13        1.236        6.241            0      355.696       85.461       89.832
       14        1.187        6.096            0      350.871       89.059       95.410
       15        1.023        6.118            0      357.214       87.757       93.414
       16        1.335        6.365            0      358.943       98.578       99.144
       17        1.464        6.544            0      360.264       97.200      100.336
       18        1.332        6.292            0      352.740       81.940      100.430
       19        1.246        6.150            0      352.854       72.250       96.763
       20        1.163        6.374            0      357.410       94.213       99.366
       21        1.348        6.199            0      355.739       89.433       99.398
       22        1.381        6.063            0      352.473       94.860       95.873
       23        1.190        6.237            0      353.324       92.787       98.595
       24        1.396        5.930            0      349.453      133.221       99.567
       25        1.399        6.054            0      356.949       91.538       99.014
       26        1.279        5.766            0      349.399       89.275       98.867
       27        1.330        6.205            0      354.777       94.274       97.496
       28        1.187        5.921            0      353.402       94.087       94.652
       29        1.298        5.823            0      346.562       85.082       94.261
       30        1.344        6.194            0      352.029       80.013       94.764
       31        1.271        5.998            0      354.219       78.210       98.929
       32        1.401        6.137            0      357.096       87.918      100.647
       33        1.614        5.753            0      348.325       93.014       93.569
       34        1.790        5.877            0      352.214      130.503       90.366
       35        1.482        6.073            0      353.622      104.782       93.522
       36        1.544        5.832            0      348.438       91.314       93.900
       37        1.495        5.997            0      350.853       79.126       95.540
       38        1.273        6.543            0      357.270      100.123       99.581
       39        1.200        6.189            0      354.615       90.217       99.250
       40        1.473        6.193            0      354.717      127.492       99.559
       41        1.613        5.996            0      351.432       96.418       95.747
       42        1.611        6.365            0      357.121       89.720       98.325
       43        1.464        6.085            0      352.410       94.064       99.674
       44        1.762        5.735            0      348.972       91.879       95.537
       45        1.685        5.852            0      351.378      111.327      100.164
       46        1.598        6.182            0      356.316      108.729       97.218
       47        1.659        5.966            0      352.477       94.426       98.155
       48        1.656        5.807            0      348.926       91.189       98.199
       49        1.447        5.780            0      351.671      107.435       95.355
       50        1.639        6.054            0      357.508       96.377       97.951
       51        1.145        5.964            0      353.658       72.702       94.858
       52        1.200        6.038            0      351.310       93.093       93.845
       53        1.110        5.978            0      349.047       80.385       98.440
       54        1.273        6.103            0      353.783       88.804       94.133
       55        1.396        6.102            0      354.307      105.256       95.959
       56        1.773        5.912            0      352.530       86.325       92.574
       57        1.399        5.914            0      348.368      111.693       95.193
       58        1.494        5.996            0      354.193       95.374       94.895
       59        1.733        5.985            0      353.309      102.857      101.524
       60        1.528        6.161            0      355.198       87.034       94.818
       61        1.765        5.740            0      350.414       74.278       95.682
       62        1.697        5.951            0      356.475       69.865       93.987
       63        1.742        5.774            0      353.464       62.123       90.925
       64        1.761        5.574            0      349.848       52.574       96.240
       65        1.402        6.127            0      352.962       79.370       95.115
       66        1.366        5.939            0      350.171       55.215       94.638
       67        1.319        5.914            0      348.673       87.350       91.915
       68        1.656        6.018            0      353.297      133.142       94.747
       69        1.403        6.223            0      352.164      113.676       96.874
       70        1.274        5.938            0      349.973       89.437       96.186
       71        1.310        5.859            0      349.617       97.189       91.214
       72        1.307        6.186            0      351.114       96.630       91.727
       73        1.192        6.151            0      355.897       86.812       95.448
       74        1.197        5.996            0      352.551       92.381       93.961
       75        1.296        6.054            0      351.134       63.226       93.654
       76        1.381        6.236            0      356.118       72.599      101.010
       77        1.309        6.364            0      355.945       65.420       93.192
       78        1.332        5.907            0      351.682       80.008       97.255
       79        1.343        6.036            0      349.142       86.488       95.752
       80        1.283        6.067            0      356.501       64.243       94.716
       81        1.224        6.285            0      357.958       80.355       95.121
       82        1.317        6.109            0      353.669       71.246       92.194
       83        1.317        6.134            0      354.660       64.190       95.579
       84        1.502        6.605            0      359.186      108.331      100.668
       85        1.678        5.682            0      348.130       61.961       94.348
       86        1.404        6.625            0      360.283       90.498       99.618
       87        1.277        5.940            0      352.439       77.346       93.700
       88        1.307        5.913            0      351.378      118.972       95.320
       89        1.580        5.665            0      351.196       73.696       95.183
       90        1.332        5.952            0      352.496       84.575       95.324
       91        1.173        6.081            0      351.888       65.199       94.129
       92        1.386        5.692            0      346.084       65.839       93.549
       93        1.230        5.805            0      350.436       70.545       94.140
       94        1.329        5.892            0      352.991       65.646       93.023
       95        1.499        5.707            0      347.185       59.286       93.662
       96        1.322        6.061            0      358.090       88.623       96.324
       97        1.409        5.780            0      347.741       88.079       96.177
       98        1.181        6.394            0      357.906      105.498       98.297
       99        2.206        5.151            0      346.971      107.812       93.389
      100        1.880        5.488            0      350.036       73.324       97.517
      101        1.752        5.780            0      351.404       80.705       98.551
      102        1.643        5.846            0      355.290       79.945       96.857
      103        1.956        5.412            0      350.419       93.026       99.120
      104        1.882        5.661            0      351.796       80.385       95.844
      105        2.035        5.350            0      350.435      120.152       93.151
      106        1.684        5.504            0      351.926      100.058       98.195
