## Torsion are defined with the following atomIDs:
# dihed1: ai= 2819 aj= 2807 ak= 2806 al= 2805
# dihed2: ai= 2806 aj= 2807 ak= 2819 al= 2820
# dihed3: ai= 2807 aj= 2806 ak= 2805 al= 2804
# dihed4: ai= 2806 aj= 2805 ak= 2804 al= 2803
# dihed5: ai= 2805 aj= 2804 ak= 2803 al= 2802
# dihed6: ai= 2804 aj= 2803 ak= 2802 al= 2801
# dihed7: ai= 2803 aj= 2802 ak= 2801 al= 2800
# dihed8: ai= 2802 aj= 2801 ak= 2800 al= 2808
# dihed9: ai= 2801 aj= 2800 ak= 2808 al= 2809
# dihed10: ai= 2808 aj= 2809 ak= 2810 al= 2811
# dihed11: ai= 2809 aj= 2810 ak= 2811 al= 2812
# dihed12: ai= 2811 aj= 2812 ak= 2813 al= 2814
# dihed13: ai= 2812 aj= 2813 ak= 2814 al= 2815
# dihed14: ai= 2813 aj= 2814 ak= 2815 al= 2816
# dihed15: ai= 2814 aj= 2815 ak= 2816 al= 2817
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15
0 -102.367  -17.928  174.384 -178.919  -53.745 -162.966  -65.070  131.545  116.119 -131.671 -128.499   96.337   57.159  163.844 -176.864
1  -89.719  -14.421   60.308  176.204   67.103 -178.817 -174.028 -165.175 -101.080  166.647 -105.071  167.983  171.336   59.302  168.266
2 -103.002   -1.191   76.773  149.454   63.001 -169.265  169.027 -161.185  -94.362  161.881 -103.379  140.499  170.630   87.572  -72.140
3  -96.941    3.846   49.121  164.478   65.854 -172.763  176.444 -152.810  -89.661 -174.423 -115.826  103.322  169.850  156.309  -95.020
4  -90.770  -14.057   81.487  157.322   78.209  -70.072 -147.904   74.798 -133.435  172.115 -143.375  121.649  -66.477  -97.093   92.205
5  -95.311    3.307   67.451  160.993   72.316  168.522  179.818 -172.255 -100.480  158.421  -80.570 -125.921 -158.834  -53.978  -59.635
6  -74.854    8.969  -75.893 -168.006  164.915 -173.830 -177.884 -170.020 -118.941  141.729  -52.470   97.661 -175.277  -53.578  -87.665
7  106.880   28.892  -79.471 -172.115   88.594  173.350 -175.402  179.541  148.839  145.433  -91.267 -102.000  174.253  -66.707  -61.250
8  104.020  -11.272  -47.790 -170.739  -62.812  174.856  158.984 -152.096  -92.392 -172.200  -69.544 -148.216 -172.327  -69.485 -171.564
9  107.789   -1.133  -60.773 -171.720  -69.437 -173.241 -179.334  177.061  -88.933 -118.567  -99.473  105.875   60.701 -163.669  179.396
