   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   3.601        2.347
         2                   3.423        2.098
         3                   3.268        1.745
         4                   3.395        1.346
         5                   3.762        1.194
         6                   4.230        1.276
         7                   4.800        1.825
         8                   5.543        2.227
         9                   4.088        2.456
        10                   4.167        2.217
        11                   3.855        1.750
        12                   3.765        1.667
        13                   3.513        1.722
        14                   3.201        1.677
        15                   3.535        1.889
        16                   3.889        2.212
        17                   4.587        2.854
        18                   5.322        3.594
        19                   5.971        2.552
        20                   6.002        2.944
